icao,airline,callsign
MEM,"Meridian Limited","MERIDIAN CHERRY"
ISS,"Meridiana","MERIDIANA"
MEI,"Merlin Airways","AVALON"
MNA,"Merpati Nusantara Airlines","MERPATI"
ASH,"Mesa Airlines","AIR SHUTTLE"
MES,"Mesaba Airlines","MESABA"
MSQ,"Meta Linhas Aéreas","META"
MET,"Meteorological Research Flight","METMAN"
MER,"Methow Aviation","METHOW"
MVI,"Metro Business Aviation",""
MEX,"Metro Express","EAGLE EXPRESS"
MTR,"Metroflight","METRO"
MTJ,"Metrojet","METROJET"
PIX,"Metropix UK","METROPIX"
MPS,"Metropolis","METRO REGIONAL"
MXB,"Mex Blue","MEX BLUE"
MJT,"Mex-Jet","MEJETS"
MXC,"Mexicargo","MEXICARGO"
MXA,"Mexicana de Aviación","MEXICANA"
MXT,"México Transportes Aéreos","TRANSMEX"
HUR,"Miami Air Charter","HURRICANE CHARTER"
BSK,"Miami Air International","BISCAYNE"
OWL,"Miami Valley Aviation","NIGHT OWL"
MPT,"Miapet-Avia","MIAPET"
BIB,"Michelin Air Services",""
WIZ,"Micromatter Technology Solutions","WIZARD"
NYL,"Mid Airlines","NILE"
MPA,"Mid-Pacific Airlines","MID PAC"
MJR,"Midamerica Jet","MAJOR"
MEA,"Middle East Airlines","CEDAR JET"
MID,"Midland Airport Services",""
MFR,"Midline Air Freight","MIDLINE FREIGHT"
MIS,"Midstate Airlines","MIDSTATE"
MDW,"Midway Airlines (1993–2003)","MIDWAY"
MDW,"Midway Airlines (1976–1991)","MIDWAY"
FLA,"Midway Express","PALM"
FAX,"Midwest Air Freighters","FAIRFAX"
MEP,"Midwest Airlines","MIDEX"
MWA,"Midwest Airlines (Egypt)",""
NIT,"Midwest Aviation","NIGHTTRAIN"
MWT,"Midwest Aviation Division","MIDWEST"
HTE,"Midwest Helicopters De Mexico","HELICOPTERSMEXICO"
MLR,"Mihin Lanka","MIHIN LANKA"
MAB,"Millardair","MILLARDAIR"
RJM,"Millen Corporation","MILLEN"
MLK,"Millennium Air","NIGERJET"
DLK,"Millennium Airlines","DEKKANLANKA"
MFS,"Miller Flying Services","MILLER TIME"
OXO,"Million Air","MILL AIR"
MIM,"Mimino","MIMINO"
NAB,"Mina Airline Company",""
OMR,"Minair","ORMINE"
EBE,"Minebea Technologies","MINEBEA"
MAZ,"Mines Air Services Zambia","MINES"
MNL,"Miniliner","MINILINER"
MNS,"Ministic Air","MINISTIC"
WDG,"Ministry of Agriculture, Fisheries and Food","WATCHDOG"
LIR,"Minsk Aircraft Overhaul Plant","LISLINE"
MIC,"Mint Airways","MINT AIRWAYS"
MIR,"Miramichi Air Service","MIRAMICHI"
MIF,"Miras","MIRAS"
MOS,"Misr Overseas Airways",""
MAF,"Mission Aviation Fellowship","MISSI"
MSN,"Missionair","MISIONAIR"
MRN,"Missions Gouvernemtales Francaises","MARIANNE"
BDG,"Mississippi State University","BULLDOG"
MVA,"Mississippi Valley Airlines","VALAIR"
MSA,"Mistral Air","AIRMERCI"
MJF,"MJET","EM-EXPRESS"
MBO,"Mobil Oil","MOBIL"
MXE,"Mocambique Expresso","MOZAMBIQUE EXPRESS"
MFZ,"Mofaz Air","MOFAZ AIR"
MOW,"Mohawk Airlines","MOHAWK AIR"
MUL,"Mokulele Airlines","MUKULELE"
MLE,"Moldaeroservice","MOLDAERO"
MDV,"Moldavian Airlines","MOLDAVIAN"
MVG,"Moldova","MOLDOVA-STATE"
RRV,"Mombasa Air Safari","SKYROVER"
MON,"Monarch Airlines","MONARCH"
MNH,"Monarch Airlines","MONARCH AIR"
MFC,"Moncton Flying Club","EAST WIND"
MDB,"Monde Air Charters","MONDEAIR CARGO"
MTI,"Monerrey Air Taxi","MONTERREY AIR"
MKY,"Monky Aerotaxis","MONKY"
MGX,"Montenegro Airlines","MONTENEGRO"
MNT,"Montserrat Airways","MONTSERRAT"
MNY,"Mooney Aircraft Corporation","MOONEY FLIGHT"
MAL,"Morningstar Air Express","MORNINGSTAR"
MSS,"Morris Air Service","WASATCH"
MRO,"Morrison Flying Service","MORRISON"
GAI,"Moskovia Airlines","GROMOV AIRLINE"
MPI,"Mosphil Aero","MOSPHIL"
MSI,"Motor Sich Airlines","MOTOR SICH"
NZM,"Mount Cook Airline","MOUNTCOOK"
MTN,"Mountain Air Cargo","MOUNTAIN"
MTC,"Mountain Air Company","MOUNTAIN LEONE"
PKP,"Mountain Air Express","PIKES PEAK"
BRR,"Mountain Air Service","MOUNTAIN AIR"
MBI,"Mountain Bird","MOUNTAIN BIRD"
MHA,"Mountain High Aviation","MOUNTAIN HIGH"
MPC,"Mountain Pacific Air","MOUNTAIN PACIFIC"
MTV,"Mountain Valley Air Service","MOUNTAIN VALLEY"
MDN,"Mudan Airlines",""
CMJ,"Mudanjiang General Aviation","MUDANJIANG"
MTX,"Multi Taxi","MULTITAXI"
WBR,"Multi-Aero","WEBER"
MFT,"Multiflight","YORKAIR"
MNZ,"Murmansk Aircompany","MURMAN AIR"
MUA,"Murray Air","MURRAY AIR"
MMR,"Musrata Air Transport","MUSRATA AIR"
MAW,"Mustique Airways","MUSTIQUE"
MYM,"MYAirline","MYAIR"
MYW,"MyWay Airlines","MYSKY"
MYT,"MyTravel Airways","KESTREL"
UBA,"Myanma Airways","UNIONAIR"
MMA,"Myanmar Airways International","MYANMAR"
MAV,"Minoan Air","MINOAN"
MYA,"Myflug","MYFLUG"
VKG,"MyTravel Airways","VIKING"
AAD,"Mann Air Ltd","Ambassador"
MHV,"MHS Aviation GmbH","SNOWCAP"
MTU,"Middle Tennessee State University","BLUE RAIDER"
NIA,"Nile Air","NILE BIRD"
SIQ,"National Center for Atmospheric Research","SCIENCE QUEST"
NEJ,"Netjets Business Aviation","NET BUSINESS"
NHV,"NHV Aviation",""
NHC,"Northern Helicopter","NORTHERN"
DMD,"Namdeb Diamond Corporation","DIAMONDJET"
NIN,"Niger Airlines","NIGER AIRLINES"
FEY,"Fly Easy","FLYEASY"
NUB,"Nomad Aviation","VALLETTA"
NJA,"New Japan Aviation","SHIN NIHON"
ROW,"Nor Aviation","ROTORWING"
NLG,"NEL Cargo","NELCARGO"
NHG,"NHT Linhas Aéreas","HELGA"
WAR,"NZ Warbirds Association","WARBIRDS"
ANL,"Nacoia Lda","AIR NACOIA"
NHZ,"Nada Air Service","NADA AIR"
BFN,"Compangnie Nationale Naganagani",""
NAH,"Nahanni Air Services Ltd","NAHANNI"
NKL,"Nakheel Aviation","NAKHEEL"
MRE,"Namibia Commercial Aviation","MED RESCUE"
NDF,"Namibian Defence Force","NAMIBIAN AIR FORCE"
CNJ,"Nanjing Airlines","NINGHANG"
ACK,"Nantucket Airlines","ACK AIR"
NYA,"Nanyah Aviation","NANYAH"
NAP,"Napier Air Service Inc","NAPIER"
NCM,"Nas Air","AIR BANE"
NAS,"Nasair","NASAIRWAYS"
NJC,"Nashville Jet Charters","NASHVILLE JET"
NCO,"Natalco Air Lines","NATALCO"
NTK,"National Air Traffic Controllers Association","NATCA"
NSR,"National Air Charter","NASAIR"
RFI,"National Air Traffic Services","SHERLOCK"
NAN,"National Airlines","NATION AIR"
NCN,"National Airlines",""
ROK,"National Airlines","RED ROCK"
NAL,"National Airlines","NATIONAL"
NCR,"National Air Cargo dba National Airlines","NATIONAL CARGO"
NAE,"National Airways Ethiopia","NATIONAL"
NIH,"NAM Air","NAM"
KUS,"National Airlines","KUSWAG"
LFI,"National Airways Corporation","AEROMED"
GTY,"National Aviation Company",""
TNC,"National Aviation Consultants","NATCOM"
NXT,"National Express","NATIONAL FREIGHT"
GRD,"National Grid plc","GRID"
JTE,"National Jet Express","JETEX"
AND,"National Jet Service","AIR INDIANA"
NJS,"National Jet Systems","NATIONAL JET"
NOL,"National Overseas Airlines Company","NAT AIRLINE"
NLS,"Nationale Luchtvaartschool","PANDER"
NAE,"Nations Air Express Inc","NATIONS EXPRESS"
NTW,"Nationwide Airlines","NATIONWIDE"
NWZ,"Nationwide Airlines (Zambia)","ZAMNAT"
EVM,"Natural Environment Research Council","SCIENCE"
NRR,"Natureair","NATUREAIR"
NRK,"Naturelink Charter","NATURELINK"
NVC,"Nav Canada","NAV CAN"
NAV,"Nav Flight Planning","NAV DISPATCH"
NVP,"Navegacao Aérea De Portugal",""
NAY,"Navegación Servicios Aéreos Canarios S.A.","NAYSA"
IRI,"Navid","NAVID"
NVM,"Naviera Mexicana","NAVIERA"
NVL,"Navigator Airlines","NAVLINES"
XNV,"Navinc Airlines Services",""
XNS,"Navtech System Support",""
NZA,"Nayzak Air Transport",""
NEB,"State of Nebraska","NEBRASKA"
NEC,"Necon Air","NECON AIR"
NCG,"Nederlandse Kustwacht","NETHERLANDS COASTGUARD"
NFT,"Nefteyugansk Aviation Division","NEFTEAVIA"
NLA,"Neiltown Air","NEILTOWN AIR"
NLC,"Nelair Charters","NELAIR"
CGE,"Nelson Aviation College","COLLEGE"
RNA,"Nepal Airlines","ROYAL NEPAL"
NOS,"Neos","MOONFLOWER"
TOX,"Neosiam Airways","SKY KINGDOM"
NSL,"Neric","NERICAIR"
NMA,"Nesma Airlines","NESMA"
EJA,"NetJets","EXECJET"
NET,"Network Aviation Services","NETWORK"
NEZ,"New England Air Express","ENGAIR"
NEA,"New England Airlines","NEW ENGLAND"
NHT,"New Heights 291","NEWHEIGHTS"
NWD,"New World Jet Corporation","NEW WORLD"
NYH,"New York Helicopter","NEW YORK"
GRY,"New York State Police","GRAY RIDER"
KRC,"Royal New Zealand Air Force","KIWI RESCUE"
HVA,"Newair","HAVEN-AIR"
NLT,"Newfoundland Labrador Air Transport","NALAIR"
NTJ,"NextJet","NEXTJET"
NXF,"Nextflight Aviation","NEXTFLIGHT"
NXS,"Nexus Aviation","NEXUS AVIATION"
NIS,"Nicaragüense de Aviación","NICA"
NCN,"Nicon Airways","NICON AIRWAYS"
NGA,"Nigeria Airways","NIGERIA"
NGR,"Nigerian Air Force","NIGERIAN AIRFORCE"
NGX,"Nigerian Global","AIR GLOBAL"
EXT,"Nightexpress","EXECUTIVE"
NLY,"Niki","FLYNIKI"
NKV,"Nikolaev-Air","AIR NIKOLAEV"
NSA,"Nile Safaris Aviation","NILE SAFARIS"
NVA,"Nile Valley Aviation Company",""
NLW,"Nile Wings Aviation Services","NILE WINGS"
NBS,"Nimbus Aviation","NIMBUS"
NSR,"Nine Star Airways","AIR STAR"
NCA,"Nippon Cargo Airlines","NIPPON CARGO"
NVK,"Nizhnevartovskavia","VARTOSKAVIA"
NOH,"No. 32 (The Royal) Squadron","NORTHOLT"
AKG,"No. 84 Squadron RAF","GRIFTER"
NBL,"Nobil Air","NOBIL AIR"
NOK,"Nok Air","NOK AIR"
NCT,"NokScoot","BIG BIRD"
NRL,"Nolinor Aviation","NOLINOR"
NMD,"Nomad Aviation","NOMAD AIR"
OMD,"Nomadic Aviation Group LLC","NOMADIC"
NOC,"Norcopter","NORCOPTER"
NEF,"Nord-Flyg","NORDEX"
AUL,"Nordavia","ARCHANGELSK AIR"
NES,"Nordeste Linhas Aéreas Regionais","NORDESTE"
NRD,"Nordic Regional","NORTH RIDER"
TYA,"NordStar","TAIMYR"
NDS,"Nordstree (Australia)",""
NWS,"Nordwind Airlines","NORDLAND"
NRT,"Norestair","NORESTAIR"
NCF,"Norfolk County Flight College","COUNTY"
FNA,"Norlandair","NORLAND"
NOA,"Norontair","NORONTAIR"
HMF,"Norrlandsflyg","LIFEGUARD SWEDEN"
NRX,"Norse Air Charter","NORSE AIR"
NBT,"Norse Atlantic Airways","LONGSHIP"
UBT,"Norse Atlantic UK","LONGBOAT"
NIR,"Norsk Flytjeneste","NORSEMAN"
NOR,"Norsk Helikopter","NORSKE"
DOC,"Norsk Luftambulanse","HELIDOC"
RTV,"Nortavia","TIC-TAC"
NAI,"North Adria Aviation","NORTH-ADRIA"
NAO,"North American Airlines","NORTH AMERICAN"
HMR,"North American Charters","HAMMER"
NAJ,"North American Jet Charter Group","JET GROUP"
NAT,"North Atlantic Air Inc","MASS AIR"
NFC,"North Atlantic Cargo","NORTH ATLANTIC"
NBN,"North British Airlines","TEESAIR"
NCB,"North Caribou Flying Service Ltd","NORTH CARIBOU"
NFA,"North Flying","NORTH FLYING"
NRC,"North Sea Airways","NORTH SEA"
SBX,"North Star Air Cargo","SKY BOX"
NRV,"North Vancouver Airlines","NORVAN"
NWW,"North West Airlines","HALANT"
PTO,"North West Geomatics","PHOTO"
NEN,"North-East Airlines","NORTHEAST SWAN"
VBG,"North-West Air Transport Company - Vyborg","VYBORG AIR"
NWL,"North-Wright Airways","NORTHWRIGHT"
NLL,"Northafrican Air Transport","NORTHAFRICAN AIR"
NFL,"Northaire Freight Lines","GREAT LAKES"
NSF,"Northamptonshire School of Flying","NORTON"
NCE,"Northcoast Executive Airlines","TOP HAT"
NEE,"Northeast Airlines","NORTHEAST"
NPX,"Northeast Aviation","NORTHEAST EXPRESS"
